,Seq,_2MASS,RAJ2000,DEJ2000,Vamp,Vmag,Bamp,Bmag,Iamp,Imag,Per,Class,Rem,distance
102,157,1,205.54249999999996,28.388555555555552,1.078,15.249,1.261,15.707,0.412,14.505,0.5430860000000002,b'RR0 ',b'   ',0.7641580576769759
354,292,0,205.5465833333333,28.364999999999995,0.267,15.704,0.251,15.809,,,0.2965790000000001,b'RR1 ',b'   ',0.7447819989774531
174,292,0,205.5465833333333,28.364999999999995,0.267,15.704,0.251,15.809,,,0.2965790000000001,b'RR1 ',b'   ',0.7447819989774531
101,156,0,205.54162499999998,28.367166666666662,1.005,15.415,1.163,15.726,0.511,15.039,0.5320030000000001,b'RR0 ',b'   ',0.730760888390517
281,156,0,205.54162499999998,28.367166666666662,1.005,15.415,1.163,15.726,0.511,15.039,0.5320030000000001,b'RR0 ',b'   ',0.730760888390517
276,148,1,205.54562499999997,28.388888888888886,0.832,15.194,1.108,15.558,0.404,14.479,0.4672520000000001,b'RR0 ',b'   ',0.7165558739169194
96,148,1,205.54562499999997,28.388888888888886,0.832,15.194,1.108,15.558,0.404,14.479,0.4672520000000001,b'RR0 ',b'   ',0.7165558739169194
301,188,0,205.53954166666665,28.385249999999996,0.449,15.742,0.477,15.982,0.337,15.506,0.2665100000000001,b'RR1 ',b'   ',0.7157940178577983
121,188,0,205.53954166666665,28.385249999999996,0.449,15.742,0.477,15.982,0.337,15.506,0.2665100000000001,b'RR1 ',b'   ',0.7157940178577983
315,212,0,205.54112499999997,28.367888888888885,0.858,15.475,0.972,15.938,,,0.5421360000000002,b'RR0 ',b'Bl?',0.7132062257486614
135,212,0,205.54112499999997,28.367888888888885,0.858,15.475,0.972,15.938,,,0.5421360000000002,b'RR0 ',b'Bl?',0.7132062257486614
145,234,0,205.55454166666664,28.36747222222222,1.137,15.8,1.26,16.184,0.897,15.476,0.5079250000000001,b'RR0 ',b'   ',0.693661916048835
325,234,0,205.55454166666664,28.36747222222222,1.137,15.8,1.26,16.184,0.897,15.476,0.5079250000000001,b'RR0 ',b'   ',0.693661916048835
284,160,0,205.545,28.366499999999995,1.046,15.567,1.205,15.932,0.668,15.115,0.6569280000000002,b'RR0 ',b'   ',0.678325899550306
104,160,0,205.545,28.366499999999995,1.046,15.567,1.205,15.932,0.668,15.115,0.6569280000000002,b'RR0 ',b'   ',0.678325899550306
290,172,0,205.54120833333332,28.385777777777776,1.021,15.59,1.108,15.927,,,0.5422610000000001,b'RR0 ',b'   ',0.6687071509852066
110,172,0,205.54120833333332,28.385777777777776,1.021,15.59,1.108,15.927,,,0.5422610000000001,b'RR0 ',b'   ',0.6687071509852066
316,213,0,205.53987499999997,28.370222222222218,0.468,15.461,0.529,15.753,0.396,15.046,0.29994400000000004,b'RR1 ',b'   ',0.6646704851129108
136,213,0,205.53987499999997,28.370222222222218,0.468,15.461,0.529,15.753,0.396,15.046,0.29994400000000004,b'RR1 ',b'   ',0.6646704851129108
320,218,0,205.55674999999997,28.37033333333333,0.806,15.738,0.936,16.037,0.471,15.343,0.5448700000000001,b'RR0 ',b'Bl ',0.6508549961380163
140,218,0,205.55674999999997,28.37033333333333,0.806,15.738,0.936,16.037,0.471,15.343,0.5448700000000001,b'RR0 ',b'Bl ',0.6508549961380163
289,171,0,205.53962499999997,28.38322222222222,0.567,15.58,0.618,15.703,0.38,15.381,0.30330700000000005,b'RR1 ',b'   ',0.6367561964987968
109,171,0,205.53962499999997,28.38322222222222,0.567,15.58,0.618,15.703,0.38,15.381,0.30330700000000005,b'RR1 ',b'   ',0.6367561964987968
279,151,0,205.5499583333333,28.367027777777775,0.909,15.459,1.038,15.757,0.566,15.116,0.5164970000000001,b'RR0 ',b'   ',0.6218772015258583
99,151,0,205.5499583333333,28.367027777777775,0.909,15.459,1.038,15.757,0.566,15.116,0.5164970000000001,b'RR0 ',b'   ',0.6218772015258583
118,181,0,205.53837499999997,28.37480555555555,0.41,15.188,0.475,15.636,,,0.6640730000000001,b'RR0 ',b'   ',0.6204409618274145
298,181,0,205.53837499999997,28.37480555555555,0.41,15.188,0.475,15.636,,,0.6640730000000001,b'RR0 ',b'   ',0.6204409618274145
123,190,0,205.5453333333333,28.386499999999998,1.095,15.557,1.276,15.905,0.713,15.177,0.5227350000000002,b'RR0 ',b'   ',0.5834720438895443
303,190,0,205.5453333333333,28.386499999999998,1.095,15.557,1.276,15.905,0.713,15.177,0.5227350000000002,b'RR0 ',b'   ',0.5834720438895443
302,189,0,205.53995833333332,28.372777777777774,0.478,15.146,0.629,15.609,0.304,14.603,0.6129310000000001,b'RR0 ',b'   ',0.5747960105803424
122,189,0,205.53995833333332,28.372777777777774,0.478,15.146,0.629,15.609,0.304,14.603,0.6129310000000001,b'RR0 ',b'   ',0.5747960105803424
332,245,0,205.54120833333332,28.38333333333333,0.481,15.414,0.576,15.713,,,0.28403700000000004,b'RR1 ',b'   ',0.5648598728896613
152,245,0,205.54120833333332,28.38333333333333,0.481,15.414,0.576,15.713,,,0.28403700000000004,b'RR1 ',b'   ',0.5648598728896613
297,180,0,205.54204166666665,28.370416666666664,0.77,15.735,0.832,16.071,,,0.6091310000000001,b'RR0 ',b'   ',0.5618778123409942
117,180,0,205.54204166666665,28.370416666666664,0.77,15.735,0.832,16.071,,,0.6091310000000001,b'RR0 ',b'   ',0.5618778123409942
273,145,0,205.55670833333332,28.380916666666664,0.943,15.429,1.207,15.82,0.566,14.968,0.5144560000000001,b'RR0 ',b'   ',0.5433561226294307
93,145,0,205.55670833333332,28.380916666666664,0.943,15.429,1.207,15.82,0.566,14.968,0.5144560000000001,b'RR0 ',b'   ',0.5433561226294307
