,Seq,m_Seq,Per,u_Per,Type,__Bmag_,u__Bmag_,__Vmag_,u__Vmag_,__Imag_,u__Imag_,FileName,SimbadName,_RA,_DE,Bmag,Vmag,RAJ2000,DEJ2000,distance
254,b' 18',b' ',0.5164527,b' ',b'RRab',16.068,b':',15.698,b' ',15.231,b':',b'v018',b'Cl* NGC 5272 SAW V 18',205.5792833333333,28.296463888888884,16.068,15.698,205.5792833333333,28.296463888888884,5.190451261734461
22,b' 23',b' ',0.5953834,b' ',b'RRab',15.884,b' ',15.639,b' ',14.677,b' ',b'v023',b'Cl* NGC 5272 SAW V 23',205.51219999999998,28.455663888888886,15.884,15.639,205.51219999999998,28.455663888888886,5.180923742002893
259,b' 23',b' ',0.5953834,b' ',b'RRab',15.884,b' ',15.639,b' ',14.677,b' ',b'v023',b'Cl* NGC 5272 SAW V 23',205.51219999999998,28.455663888888886,15.884,15.639,205.51219999999998,28.455663888888886,5.180923742002893
177,b'203',b' ',0.289794,b' ',b'RRc',15.855,b' ',15.592,b' ',15.252,b' ',b'v203',b'Cl* NGC 5272 SAW V203',205.53971666666664,28.291736111111106,15.855,15.592,205.53971666666664,28.291736111111106,5.158926192576244
414,b'203',b' ',0.289794,b' ',b'RRc',15.855,b' ',15.592,b' ',15.252,b' ',b'v203',b'Cl* NGC 5272 SAW V203',205.53971666666664,28.291736111111106,15.855,15.592,205.53971666666664,28.291736111111106,5.158926192576244
110,b'119',b' ',0.51769,b' ',b'RRab',15.966,b':',15.67,b' ',15.182,b':',b'v119',b'Cl* NGC 5272 SAW V119',205.62849999999997,28.408111111111108,15.966,15.67,205.62849999999997,28.408111111111108,5.148891343816365
347,b'119',b' ',0.51769,b' ',b'RRab',15.966,b':',15.67,b' ',15.182,b':',b'v119',b'Cl* NGC 5272 SAW V119',205.62849999999997,28.408111111111108,15.966,15.67,205.62849999999997,28.408111111111108,5.148891343816365
275,b' 39',b' ',0.5870758,b' ',b'RRab',16.021,b' ',15.668,b' ',15.206,b' ',b'v039',b'Cl* NGC 5272 SAW V 39',205.4710958333333,28.411727777777774,16.021,15.668,205.4710958333333,28.411727777777774,5.078873039001916
38,b' 39',b' ',0.5870758,b' ',b'RRab',16.021,b' ',15.668,b' ',15.206,b' ',b'v039',b'Cl* NGC 5272 SAW V 39',205.4710958333333,28.411727777777774,16.021,15.668,205.4710958333333,28.411727777777774,5.078873039001916
44,b' 45',b' ',0.5369002,b' ',b'RRab',16.056,b' ',15.675,b' ',15.247,b' ',b'v045',b'Cl* NGC 5272 SAW V 45',205.47215416666663,28.341649999999998,16.056,15.675,205.47215416666663,28.341649999999998,5.050400109746154
281,b' 45',b' ',0.5369002,b' ',b'RRab',16.056,b' ',15.675,b' ',15.247,b' ',b'v045',b'Cl* NGC 5272 SAW V 45',205.47215416666663,28.341649999999998,16.056,15.675,205.47215416666663,28.341649999999998,5.050400109746154
271,b' 35',b' ',0.5305483,b' ',b'RRab',15.878,b' ',15.62,b' ',15.112,b':',b'v035',b'Cl* NGC 5272 SAW V 35',205.5147458333333,28.300999999999995,15.878,15.62,205.5147458333333,28.300999999999995,5.002669194391079
34,b' 35',b' ',0.5305483,b' ',b'RRab',15.878,b' ',15.62,b' ',15.112,b':',b'v035',b'Cl* NGC 5272 SAW V 35',205.5147458333333,28.300999999999995,15.878,15.62,205.5147458333333,28.300999999999995,5.002669194391079
4,b'  5',b' ',0.505703,b' ',b'RRab',15.974,b' ',15.714,b' ',15.238,b':',b'v005',b'Cl* NGC 5272 SAW V  5',205.6306708333333,28.37236944444444,15.974,15.714,205.6306708333333,28.37236944444444,4.944066155463204
241,b'  5',b' ',0.505703,b' ',b'RRab',15.974,b' ',15.714,b' ',15.238,b':',b'v005',b'Cl* NGC 5272 SAW V  5',205.6306708333333,28.37236944444444,15.974,15.714,205.6306708333333,28.37236944444444,4.944066155463204
93,b' 96',b' ',0.499415,b' ',b'RRab',15.918,b' ',15.652,b' ',,b' ',b'v096',b'Cl* NGC 5272 SAW V 96',205.49669999999998,28.313213888888885,15.918,15.652,205.49669999999998,28.313213888888885,4.939945009861549
330,b' 96',b' ',0.499415,b' ',b'RRab',15.918,b' ',15.652,b' ',,b' ',b'v096',b'Cl* NGC 5272 SAW V 96',205.49669999999998,28.313213888888885,15.918,15.652,205.49669999999998,28.313213888888885,4.939945009861549
14,b' 15',b' ',0.5300874,b' ',b'RRab',15.833,b' ',15.616,b' ',15.144,b' ',b'v015',b'Cl* NGC 5272 SAW V 15',205.51983749999997,28.30236944444444,15.833,15.616,205.51983749999997,28.30236944444444,4.810440847741545
251,b' 15',b' ',0.5300874,b' ',b'RRab',15.833,b' ',15.616,b' ',15.144,b' ',b'v015',b'Cl* NGC 5272 SAW V 15',205.51983749999997,28.30236944444444,15.833,15.616,205.51983749999997,28.30236944444444,4.810440847741545
10,b' 11',b' ',0.5078915,b' ',b'RRab',15.873,b' ',15.636,b' ',15.166,b' ',b'v011',b'Cl* NGC 5272 SAW V 11',205.5003458333333,28.319988888888886,15.873,15.636,205.5003458333333,28.319988888888886,4.487048802158652
247,b' 11',b' ',0.5078915,b' ',b'RRab',15.873,b' ',15.636,b' ',15.166,b' ',b'v011',b'Cl* NGC 5272 SAW V 11',205.5003458333333,28.319988888888886,15.873,15.636,205.5003458333333,28.319988888888886,4.487048802158652
274,b' 38',b' ',0.558011,b' ',b'RRab',16.086,b' ',15.701,b' ',15.171,b' ',b'v038',b'Cl* NGC 5272 SAW V 38',205.48381666666663,28.413599999999995,16.086,15.701,205.48381666666663,28.413599999999995,4.446657520657388
37,b' 38',b' ',0.558011,b' ',b'RRab',16.086,b' ',15.701,b' ',15.171,b' ',b'v038',b'Cl* NGC 5272 SAW V 38',205.48381666666663,28.413599999999995,16.086,15.701,205.48381666666663,28.413599999999995,4.446657520657388
295,b' 59',b' ',0.5888236,b' ',b'RRab',16.071,b' ',15.649,b' ',15.17,b' ',b'v059',b'Cl* NGC 5272 SAW V 59',205.51384166666665,28.314813888888885,16.071,15.649,205.51384166666665,28.314813888888885,4.283607030348461
58,b' 59',b' ',0.5888236,b' ',b'RRab',16.071,b' ',15.649,b' ',15.17,b' ',b'v059',b'Cl* NGC 5272 SAW V 59',205.51384166666665,28.314813888888885,16.071,15.649,205.51384166666665,28.314813888888885,4.283607030348461
352,b'125',b' ',0.3498227,b' ',b'RRc',15.959,b' ',15.73,b' ',15.22,b' ',b'v125',b'Cl* NGC 5272 SAW V125',205.60721666666663,28.34170833333333,15.959,15.73,205.60721666666663,28.34170833333333,4.123291696688971
115,b'125',b' ',0.3498227,b' ',b'RRc',15.959,b' ',15.73,b' ',15.22,b' ',b'v125',b'Cl* NGC 5272 SAW V125',205.60721666666663,28.34170833333333,15.959,15.73,205.60721666666663,28.34170833333333,4.123291696688971
331,b' 97',b' ',0.3349326,b' ',b'RRc',15.933,b' ',15.703,b' ',15.355,b' ',b'v097',b'Cl* NGC 5272 SAW V 97',205.5074208333333,28.32355833333333,15.933,15.703,205.5074208333333,28.32355833333333,4.054463690614549
94,b' 97',b' ',0.3349326,b' ',b'RRc',15.933,b' ',15.703,b' ',15.355,b' ',b'v097',b'Cl* NGC 5272 SAW V 97',205.5074208333333,28.32355833333333,15.933,15.703,205.5074208333333,28.32355833333333,4.054463690614549
332,b' 99',b' ',0.3609319,b' ',b'RRd',15.824,b':',15.59,b' ',15.096,b':',b'v099',b'Cl* NGC 5272 SAW V 99',205.61179999999996,28.363252777777774,15.824,15.59,205.61179999999996,28.363252777777774,3.8950169388281615
95,b' 99',b' ',0.3609319,b' ',b'RRd',15.824,b':',15.59,b' ',15.096,b':',b'v099',b'Cl* NGC 5272 SAW V 99',205.61179999999996,28.363252777777774,15.824,15.59,205.61179999999996,28.363252777777774,3.8950169388281615
270,b' 34',b' ',0.5591031,b' ',b'RRab',16.067,b' ',15.768,b' ',15.177,b' ',b'v034',b'Cl* NGC 5272 SAW V 34',205.5908208333333,28.425688888888885,16.067,15.768,205.5908208333333,28.425688888888885,3.8614467694033423
33,b' 34',b' ',0.5591031,b' ',b'RRab',16.067,b' ',15.768,b' ',15.177,b' ',b'v034',b'Cl* NGC 5272 SAW V 34',205.5908208333333,28.425688888888885,16.067,15.768,205.5908208333333,28.425688888888885,3.8614467694033423
